home_id,title,postcode,price,street,houseNumber,city,quarter,latitude,longitude,livingSpace,numberOfRooms,balcony,garden,monthlyRate,builtInKitchen,home_url
131312244,Helle 2 Zimmerwohnung mit großzügiger Terrasse im Herzen von Berlin,10117,1807.4,Leipziger Straße,130,Berlin,Mitte (Mitte),52.5105,13.38158,61.95,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131312244
108373127,3-Zimmer-Wohnung mit Terrasse im Herzen von Berlin,10117,2649.36,Voßstr.,32,Berlin,Mitte (Mitte),52.5109,13.38131,139.44,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/108373127
131457878,Erstbezug nach Fertigstellung - Maisonettewohnung in ruhiger Lage,13503,2867.5,N/A,N/A,Berlin,Heiligensee (Reinickendorf),N/A,N/A,155.0,4.0,true,true,N/A,false,https://www.immobilienscout24.de/expose/131457878
131796830,"2 Zimmer Wohnung barrierearm, sofort zu beziehen",13409,1019.1,Werftendensteig,3b,Berlin,Reinickendorf (Reinickendorf),52.56572,13.36527,67.94,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/131796830
129154014,Neubau: großzügige 3-Zimmer-Wohnung mit fantastischer Dachterrasse!,12103,2294.72,In den Alboingärten,23,Berlin,Schöneberg (Schöneberg),52.46068,13.36375,112.89,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/129154014
131806054,Modern möblierte Wohnung im Wave mit Spreeblick!,10245,1190.0,Stralauer Allee,13,Berlin,Friedrichshain (Friedrichshain),52.49822,13.46084,43.24,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131806054
131860673,Traumwohnung im Herzen Berlins,14199,1120.0,Helene-Jacobs-Straße,28,Berlin,Schmargendorf (Wilmersdorf),N/A,N/A,56.09,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131860673
131957127,Perfekt für Singles und Paare! Attraktive 2-Zimmer Wohnung in Charlottenburg-Wilmersdorf,14199,1085.0,Helene-Jacobs-Straße,6,Berlin,Schmargendorf (Wilmersdorf),N/A,N/A,53.86,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131957127
127795548,MODERNE Design-Wohnung mit Altbaudeckenhöhen von über 4m sowie EBK und 2 Balkonen,10627,2499.0,Wilmersdorfer Straße,59,Berlin,Charlottenburg (Charlottenburg),52.50738,13.30595,104.87,2.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/127795548
130809236,"Wohnen im BE MAX! Dein modernes, neues Zuhause!",14199,1545.0,Helene-Jacobs-Straße,32,Berlin,Schmargendorf (Wilmersdorf),N/A,N/A,82.37,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/130809236
124513949,No.1 Charlottenburg - möblierte Wohnung zum Erstbezug,10623,2289.77,N/A,N/A,Berlin,Charlottenburg (Charlottenburg),N/A,N/A,93.46,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124513949
130590196,Für die ganze Familie: 4-Zimmer-Wohnung mit Gäste-WC und Balkon im Quartier Stadtgut Hellersdorf,12629,798.07,Brigitte-Reimann-Straße,3,Berlin,Hellersdorf (Hellersdorf),52.54248,13.59875,82.36,4.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/130590196
131820573,Vollmöblierte Zwei-Zimmer Wohnung in zeitlos schönem Design + Balkon // Erstbezug in begehrter Lage,10247,1260.0,Kreutziger Straße,14,Berlin,Friedrichshain (Friedrichshain),52.51301,13.45951,49.52,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131820573
107316756,Möblierte Luxus-Wohnung - nahe Axel Springer & Checkpoint Charlie,10117,1299.0,Kommandantenstraße,75,Berlin,Mitte (Mitte),52.50913,13.40202,62.86,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/107316756
130512139,Wohnen und Arbeiten an der Spree,10245,3900.0,Stralauer Allee,5,Berlin,Friedrichshain (Friedrichshain),52.50109,13.45144,150.0,4.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/130512139
131589034,"Traumhafte Wohnung, zentral und ruhig gelegen... Erstbezug im Neubau!",10553,1459.0,Beusselstraße ,72/73,Berlin,Tiergarten (Tiergarten),52.5283,13.32822,71.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131589034
130634249,Erstbezug Neubau - top Ausstattung - zentral und ruhig gelegen...,10553,1299.0,Beusselstraße ,72/73,Berlin,Tiergarten (Tiergarten),52.5283,13.32822,61.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/130634249
131194090,Erstbezug nach Ausbau! Schicke Dachgeschosswohnung am Körner Park!,12053,1370.25,Rübelandstr.,7,Berlin,Neukölln (Neukölln),52.47275,13.43837,54.81,3.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/131194090
131590518,Ihr neues Zuhause direkt am Tegeler See,13507,840.0,Alt-Tegel,42/44,Berlin,Tegel (Reinickendorf),52.58839,13.27579,39.52,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/131590518
114520608,Wohnen in Bestlage von Berlin-Mitte!,10178,1843.16,Sophienstr.,8,Berlin,Mitte (Mitte),52.52519,13.40216,83.78,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/114520608
131115214,Wohnen und Arbeiten im Botschaftsviertel-3 Zimmer Wohnung für höchste Ansprüche,10785,2435.0,Köbisstrasse,00,Berlin,Tiergarten (Tiergarten),52.50781,13.354,139.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131115214
131981845,Sanierte 3-Raum-Wohnung mit Balkon und EBK in Berlin-NiederschÃ¶nhausen (Pankow),13156,755.0,Schillerstraße,7a,Berlin,Niederschönhausen (Pankow),52.59068,13.40611,76.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131981845
129410348,"Schöne, geräumige zwei Zimmer Wohnung in Berlin, Lichterfelde (Steglitz)",12209,1600.0,N/A,N/A,Berlin,Lichterfelde (Steglitz),N/A,N/A,97.0,2.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/129410348
131410987,Wohnen am Olivaer Platz,10707,1775.7,Darmstädter Straße,10,Berlin,Wilmersdorf (Wilmersdorf),52.49776,13.31657,152.29,5.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/131410987
131958591,"First occupancy, directly at the Anhalter train station with a view of the canal",10557,1886.0,Am Hamburger Bahnhof,1a,Berlin,Tiergarten (Tiergarten),52.52943,13.37055,58.59,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/131958591
131958643,"First occupancy, at Hamburger Bahnhof in Mitte / Spandauer Schifffahrtskanal",10557,1920.0,Am Hamburger Bahnhof,1a,Berlin,Tiergarten (Tiergarten),52.52952,13.37048,66.7,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131958643
131872835,NUR MIT WBS! Gemütliches Familienapartment mit Balkon! WBS-pflichtig!,13125,630.58,Hofzeichendamm,25,Berlin,Karow (Weißensee),52.61399,13.49112,72.48,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131872835
131976940,ANDERS WOHNEN - Seltenes LOFT! Dusche & Wanne! Aufzug! Terrasse! Einbauküche! Tiefgarage!,13156,1220.0,Altenberger Weg ,1,Berlin,Niederschönhausen (Pankow),52.58842,13.40156,105.0,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131976940
131206046,Helles Apartment mit EBK und Wintergarten!,13127,729.0,La-Rochelle-Straße,82,Berlin,Französisch Buchholz (Pankow),52.60578,13.41915,60.95,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/131206046
130820786,"HELLE UND MODERNE 3-ZIMMER-WOHNUNG (ME030) MIT EINBAUKÜCHE, KAMIN UND BALKON AM BERLINER ZOO",10787,1875.0,Budapester Straße,43,Berlin,Charlottenburg (Charlottenburg),52.50506,13.3399,96.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/130820786
130956829,**5-ZIMMER WOHNUNG ZWISCHEN WALD & WASSER**4-Jahre befristeter Mietvertrag**,14193,2614.0,Trabener Straße,19,Berlin,Grunewald (Wilmersdorf),52.48917,13.26685,153.78,5.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/130956829
130727162,Charmante Dachgeschosswohnung,10715,2145.0,Berliner Straße,161,Berlin,Wilmersdorf (Wilmersdorf),52.48768,13.3346,89.39,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/130727162
131591686,das gibt es nur ganz selten - großzügige Dachgeschosswohnung mit allem Drum und Dran,10717,3590.0,Uhlandstraße,130,Berlin,Wilmersdorf (Wilmersdorf),52.49207,13.32381,231.25,5.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/131591686
130384078,***Erstbezug*** Wohnen über den Dächern von Charlottenburg!,14057,2640.0,Witzlebenstraße,25,Berlin,Charlottenburg (Charlottenburg),52.50709,13.29308,125.8,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/130384078
130382156,***Erstbezug*** Wohnen über den Dächern von Charlottenburg!,14057,2935.0,Neue Kantstraße,4,Berlin,Charlottenburg (Charlottenburg),52.50711,13.29323,144.4,4.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/130382156
126798950,***Zweizimmerwohnung im Industriedesign***,13347,1402.0,Lindower Str.,20,Berlin,Wedding (Wedding),52.54398,13.36725,70.1,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126798950
130964348,"Schöne, Altbauwohnung Nähe Roseneck / Grunewald, hundefreundlich",14193,2180.88,Ilmenauer Str.,10b,Berlin,Schmargendorf (Wilmersdorf),52.48162,13.28646,111.84,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/130964348
83992712,Geräumige 4-Zimmer-Wohnung in Havelnähe!,13595,1232.0,Adamstr.,2,Berlin,Spandau (Spandau),52.52124,13.19726,102.65,4.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/83992712
131866273,Lovely flat with balcony close to Mauerpark // Schöne 3 Zimmer Wohnung mit Balkon nahe Mauerpark,10437,1650.0,Kopenhagener Straße,X,Berlin,Prenzlauer Berg (Prenzlauer Berg),52.54898,13.40694,70.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131866273
131960277,Spacious Penthouse apartment with balcony fully furnished for max. two years,10243,1550.0,N/A,N/A,Berlin,Friedrichshain (Friedrichshain),N/A,N/A,65.0,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131960277
131958522,"Erstbezug, am Hamburger Bahnhof / Spandauer Schifffahrtskanal ",10557,2005.0,Am Hamburger Bahnhof,1a,Berlin,Tiergarten (Tiergarten),52.52943,13.37055,64.43,1.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/131958522
131958240,Maisonette mit EBK und Balkon in Tempelhof-Schöneberg,12277,1900.0,Malteserstraße,148,Berlin,Marienfelde (Tempelhof),52.41863,13.3601,122.0,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131958240
131957519,"Brandneue 3-Zimmer Unmöblierte Wohnung in ""Embassy""",10179,2095.0,Am Köllnischen Park,6,Berlin,Mitte (Mitte),52.5117,13.41484,81.32,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131957519
131958310,"Brandneue 3-Zimmer Möblierte Wohnung in ""Embassy""",10179,2479.0,Am Köllnischen Park,6,Berlin,Mitte (Mitte),52.5117,13.41484,81.32,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131958310
131845086,Lichtdurchflutete 4-Zimmer-Wohnung im Baumschulenweg,12437,1840.0,Behringstr.,29,Berlin,Baumschulenweg (Treptow),52.46559,13.49055,108.29,4.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/131845086
130845766,"Geschmackvolle Wohnung mit eineinhalb Zimmern in Mitte, Berlin",10115,1304.62,Schlegelstraße,28,Berlin,Mitte (Mitte),52.53002,13.38555,41.0,1.5,false,false,N/A,true,https://www.immobilienscout24.de/expose/130845766
131542518,"Neuwertige 3-Zimmer-Erdgeschosswohnung mit Garten und EBK in Wilmersdorf, Berlin",14199,2250.0,N/A,N/A,Berlin,Schmargendorf (Wilmersdorf),N/A,N/A,90.39,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/131542518
